Drug,SW157765,SW157692,SW005017,SW134727,SW072554,SW197409,SW006981,SW096640,SW148608,SW198886,SW134963,SW023297,SW208072,SW074797,SW113135,SW015134,SW018825,SW080100,SW043997,SW088073,SW041995,SW074798,SW034455,SW096258,SW031368,SW053405,SW023118,SW096289,SW049772,SW074763,SW172170,SW031378,SW074796,SW202555,SW096274,SW147215,SW081904,SW082653,SW208097,SW082337,SW094234,SW117364,SW008135,SW028282,SW196788,SW140154,SW011146,SW013744,SW035516,SW018303
A427,619.3293,476.4293,127.5611,456.4996,283.4566,229.5367,499.5378,441.9383,263.0876,510.5304,487.0264,331.4323,385.1717,356.0858,382.2722,401.6174,522.8607,346.4797,319.2988,270.6304,337.5381,404.5892,316.4044,nan,387.3838,217.6957,375.4829,399.2481,389.2371,363.3596,458.0145,356.195,407.5327,396.7521,400.6344,413.2401,413.4573,338.2672,398.583,388.9122,431.9036,429.5226,254.2506,460.7895,527.9278,275.944,406.144,422.2413,406.8537,448.9437
A549,351.9495,316.3214,168.9888,428.1577,360.599,262.4772,446.5635,414.0671,224.0487,466.0641,461.3986,400.8646,291.2154,374.1038,423.9117,442.0926,551.3217,358.0079,360.7189,285.7834,379.341,426.4216,428.6399,430.6966,390.2242,214.842,390.1632,408.5646,451.6716,365.2983,428.7015,382.0762,426.5003,423.7875,417.4291,457.8938,453.3834,435.2515,406.9329,399.5229,434.2191,294.0923,306.3685,467.179,547.9485,293.2089,428.9521,435.6638,480.1132,448.3998
Cal12T,574.0527,505.5176,168.4351,462.0611,368.9036,276.0975,468.0364,482.3753,195.8552,404.3071,442.3167,341.3174,384.1109,411.6381,441.008,461.0023,585.4608,409.0537,352.3936,287.7042,388.7543,447.5567,410.7453,454.0299,433.4903,224.7192,446.6636,458.5155,467.5907,399.1355,441.8386,437.0284,454.9896,474.2409,464.1804,455.9351,475.9104,444.2769,345.5369,469.4946,446.1529,399.6925,359.7907,470.5111,498.9755,287.6422,434.5488,428.7966,491.6965,486.6267
Calu1,644.4242,431.3725,132.869,476.8116,400.0119,237.6356,504.9345,487.6003,115.4917,521.6384,466.5161,299.9279,345.5987,432.771,456.9587,457.6963,608.2318,415.1387,362.3067,185.5987,396.3191,477.394,456.6717,497.3815,455.0634,175.8836,446.8467,482.646,469.4929,423.6994,422.267,472.0883,476.2102,447.3077,458.0589,467.7933,491.5676,468.6931,427.4426,460.6721,499.8266,440.365,318.5224,512.9994,592.3531,180.0345,457.8489,445.65,505.9976,448.3907
Calu3,559.6126,513.88,169.7483,467.8794,325.742,281.4108,474.4093,462.0684,212.6488,412.3996,470.8211,340.2892,356.9396,406.3801,440.3628,436.1765,514.4392,302.2722,356.7663,319.5652,377.6679,470.3006,460.1642,380.3283,409.2736,194.1622,429.9771,403.3217,426.2013,381.6694,437.0013,408.939,465.5815,451.5288,449.9033,456.2658,379.8325,378.4778,328.0457,397.1877,445.0163,364.3588,371.3319,479.3695,509.3176,301.9943,414.71,420.093,490.1591,509.2734
Calu6,626.6199,506.5227,117.4921,450.566,324.4954,198.0795,479.5063,382.6687,153.0474,584.5565,465.5318,262.0755,218.3612,295.8673,338.4121,360.8942,554.6241,315.9632,302.3533,222.7268,307.3745,321.8701,346.6558,354.034,306.0116,165.042,347.6901,349.1389,381.9086,322.691,437.8956,318.503,343.8348,439.2452,351.7599,358.5038,386.8521,408.529,328.1368,289.8053,365.5066,447.6816,356.2065,384.5403,521.9907,232.0108,312.1636,339.9434,413.9498,380.6821
DFCI024,565.6825,479.6993,215.7243,362.739,390.3684,279.8776,455.4416,450.5848,324.1343,413.6564,428.2437,356.0702,371.2475,427.9309,502.7558,483.3352,533.3886,411.3732,358.9438,306.2035,385.4196,457.3358,418.4679,456.1831,454.427,217.6068,472.4866,457.8243,468.4605,417.5055,415.289,444.7392,519.3986,457.6676,492.3162,459.3177,477.5536,455.0276,405.5996,479.3018,500.5886,447.3977,302.8317,472.6748,425.9616,233.5654,458.5918,456.6483,483.407,442.4377
DFCI032,618.4191,513.8607,145.2435,458.8393,329.3056,247.2459,491.324,470.2724,169.9474,562.0055,455.8768,266.4056,316.7269,441.1575,474.3225,449.9233,590.4834,425.3263,357.6038,249.4162,416.1881,452.7936,456.6168,496.5122,423.0916,147.9624,457.4013,491.4685,473.0372,421.3293,428.7146,448.5522,485.0692,365.8599,476.466,464.612,471.6815,450.2378,457.1917,410.1933,493.0408,426.2362,374.5422,498.4276,481.9101,281.6702,430.2798,466.1385,494.3939,452.5197
EKVX,615.7497,538.7371,159.4129,390.3452,362.4856,283.3003,454.7919,470.7228,217.7222,464.5879,430.3682,285.6317,464.4804,437.2699,485.3172,461.5977,528.8243,388.1975,391.0589,270.1539,388.043,457.515,450.9319,464.4923,428.4375,158.5943,440.8217,463.1883,478.2835,389.0571,380.1602,438.4704,468.0549,625.3659,464.9247,453.2466,468.0501,466.581,487.9426,454.843,458.9294,456.098,365.1195,475.0142,501.3787,244.4777,450.1538,418.3575,504.4922,493.921
H1155,546.1674,446.0945,121.5019,495.1333,254.2325,193.3607,487.5279,320.7905,250.5115,536.9109,491.7896,286.0706,214.2097,274.0658,319.249,342.9814,582.5115,271.0317,299.3033,151.1849,284.1332,314.3871,262.3077,328.479,299.0105,150.7278,304.8245,340.0174,358.6884,290.0806,423.205,299.0496,323.9732,417.7824,293.0624,320.5312,357.1561,430.5594,319.3448,292.8187,351.7274,442.6499,253.5241,382.1357,436.4842,166.98,284.568,363.4652,386.7839,373.8138
H125,626.9377,491.6274,168.7135,nan,362.7561,245.6298,nan,466.3978,210.1796,550.0398,nan,352.6421,368.8603,494.9534,453.9169,483.0374,590.0774,384.6041,356.0773,280.14,411.8159,463.8823,455.4587,508.5137,433.3071,165.3691,511.4281,515.0881,470.836,422.0801,nan,446.6962,524.667,464.077,521.7819,474.9663,517.7995,438.9763,419.8349,490.6856,477.3808,409.6851,nan,486.7043,nan,nan,467.2933,445.9535,490.3558,443.65
H1299,613.5198,486.6313,118.9899,466.5765,396.1003,205.4797,486.9094,433.6399,220.208,625.8803,488.8564,332.1987,227.8359,329.8191,344.4892,376.8905,617.8628,308.6707,310.1618,255.5978,316.6295,355.5102,403.3124,361.5467,333.7354,176.0807,334.8786,364.5029,440.0043,327.2138,447.157,384.2798,479.8367,405.5526,336.1117,369.9322,441.5151,464.346,429.4551,398.2771,447.7972,431.9121,373.3744,402.5073,608.6252,308.5972,404.3974,367.1805,402.6501,382.0527
H1355,318.4681,342.2125,161.9333,416.3858,311.7587,260.9566,498.3607,375.3472,200.2911,519.527,438.3637,320.5059,216.3532,330.4555,345.8316,412.7722,559.2879,368.8072,323.5394,326.5633,337.1333,439.9615,349.9495,364.7007,365.461,193.797,350.8474,374.6977,384.5247,343.6856,320.8327,388.144,420.4567,481.559,348.2279,379.5822,380.7104,475.9019,294.8147,374.3381,420.867,305.1433,274.6742,420.1513,549.0734,266.7976,390.081,379.3553,423.0219,435.2635
H1373,554.7722,408.8089,145.4339,467.3518,403.6436,239.351,498.7864,449.2781,226.1796,513.8962,494.9615,343.2541,352.2065,437.9803,431.5342,466.5102,569.7868,406.6737,366.8391,268.6724,431.1708,470.5392,482.0782,486.382,452.2971,235.5148,467.3062,456.5463,501.6921,410.8256,442.8426,426.3103,492.9613,445.2951,427.6913,458.9936,447.7474,392.4636,405.5902,473.0841,433.4548,405.514,389.7259,464.8981,586.8353,285.5536,411.459,446.1807,523.4942,435.2086
H1395,621.9546,541.0044,162.7468,382.228,427.3766,270.6568,497.6239,478.8186,167.7378,505.9028,427.4674,282.5542,620.8503,490.7511,nan,464.1325,558.3477,446.1627,389.1629,266.6719,400.991,523.0509,471.071,522.7636,458.1431,156.9416,469.3706,486.7208,489.8917,447.4045,405.6396,473.7836,542.8959,492.1633,512.8879,475.1824,516.1622,475.1126,422.7082,533.1305,483.2583,435.6241,378.768,477.0763,367.851,306.53,418.5656,444.0177,521.8136,482.1762
H1437,384.4191,349.9319,197.3028,364.1812,389.4395,304.693,459.976,446.1295,301.0768,613.614,400.6037,396.7878,432.7071,407.1375,428.2378,426.3564,531.6396,384.402,405.2734,331.7556,350.8365,472.3287,434.7051,424.1072,397.5062,253.3901,420.7396,448.5723,418.9521,378.968,396.8055,439.002,516.1082,508.6649,420.4391,436.5999,459.5115,455.2709,330.7608,514.5471,455.4771,438.5102,384.8109,444.5898,431.9009,316.6361,450.6501,415.6556,489.3953,449.0785
H1568,566.9213,498.0229,164.0389,364.6342,380.0789,273.4912,461.3922,450.8828,206.3664,509.8955,425.0647,355.3282,384.1552,381.8422,399.3181,438.3881,532.166,360.4758,339.4268,299.5038,357.9166,425.7824,377.336,405.1465,400.0821,235.3458,406.655,417.8633,423.9698,347.7072,415.657,401.7969,412.7402,463.7917,403.2349,406.434,432.2035,457.0212,344.8456,444.8757,432.4384,419.743,370.0601,455.634,490.0686,244.2655,386.2344,433.0426,457.5847,471.9818
H157,395.5319,356.8094,152.8898,460.8159,360.713,234.9549,454.2363,402.1954,178.7633,561.4057,462.8251,286.4292,259.4723,363.301,405.9429,434.1387,577.6873,341.4667,332.6486,220.8901,355.6951,392.9709,399.1653,396.5486,410.2101,202.7962,409.4306,399.5103,430.9282,354.94,438.3392,397.7177,413.2259,426.6365,383.6266,414.1494,421.3637,437.1042,321.2011,427.0918,401.9234,399.3073,339.0731,453.8526,610.5088,253.2685,357.6977,366.8589,453.0967,412.3861
H1573,381.6094,300.8857,194.5206,461.2904,434.1026,290.9183,483.4313,448.2227,338.9812,404.0265,491.9536,428.4028,400.5736,393.325,453.7127,479.0786,597.4817,426.2336,386.8946,311.6398,417.6117,540.595,472.9106,466.2254,469.8391,281.6925,512.324,412.5607,496.7638,390.1462,448.295,481.3217,494.6456,446.7518,466.4485,479.0654,486.1659,462.2713,340.5992,404.2436,464.4585,372.6696,384.0042,489.8233,511.855,316.99,464.4017,473.7432,541.948,486.5859
H1581,658.487,481.9697,143.9702,484.7425,395.6343,194.3964,489.3005,511.8886,204.5105,553.0909,470.6837,274.6793,397.8928,445.9795,545.2622,478.5364,611.0492,375.3148,377.7758,154.2487,425.2936,442.5449,559.4252,479.512,413.2615,172.0573,417.3524,443.8925,441.5276,437.0374,449.4247,471.8059,536.8489,539.5974,nan,485.5194,443.169,506.9732,501.6302,394.1705,508.9871,554.857,360.8014,463.6654,528.0586,256.2977,429.3092,413.9843,421.973,500.7387
H1648,443.3502,400.7098,190.7947,290.5264,356.3877,302.7261,387.2516,400.4167,246.2276,401.8961,280.1959,377.9392,320.1961,367.6622,359.6147,421.7847,402.1657,360.9252,397.8897,301.7253,334.6664,421.9941,373.6685,378.0889,398.5788,256.5847,363.5207,404.7885,396.9276,353.5231,327.1891,440.1754,462.6419,453.7351,373.7559,415.0513,424.0725,358.7105,325.9626,445.6809,399.6871,323.4823,366.7723,436.3743,580.0446,312.7763,410.579,386.301,455.1346,416.3993
H1650,672.492,519.5267,144.7723,417.747,369.8268,241.5183,475.3231,550.9279,178.2003,455.4978,439.6674,247.754,387.2885,420.7023,474.3511,466.1757,599.3317,394.1389,361.5373,202.1281,431.269,430.2249,449.6739,451.1811,419.3656,154.1158,446.7971,437.9538,454.6156,422.4989,394.0107,431.0339,459.4784,466.2943,430.4973,463.3699,459.676,413.2092,471.9409,392.996,471.5572,465.356,285.7976,446.9219,605.8427,313.8065,411.3303,461.0886,496.1995,409.1568
H1651,632.4127,504.1319,175.5056,465.0941,375.2824,308.37,471.1732,431.9897,271.8761,522.4802,480.56,365.5046,255.8587,399.3303,437.1504,422.0227,626.2685,394.6105,354.3006,324.1316,385.2129,438.0587,440.4502,428.7491,388.8005,268.122,404.5158,526.8601,467.5525,376.1087,440.0717,425.8432,451.7326,494.0457,444.3104,443.2544,446.1436,469.8195,337.4835,516.3704,453.2191,409.8471,361.2074,459.42,518.8219,298.881,417.0345,437.0218,499.028,456.4404
H1693,589.5925,489.6561,132.9194,477.6725,282.2495,252.1719,471.3035,493.2479,214.3822,432.0521,472.2542,316.5066,388.4973,468.3663,478.2242,498.4513,595.0198,428.3397,376.6327,257.149,416.5843,493.6826,461.559,482.8346,486.4023,170.4302,496.2147,484.1162,499.1784,427.8486,423.8446,472.3383,501.5591,460.4881,491.9108,506.3893,492.7745,472.7327,366.2807,442.825,487.6553,427.2119,360.4014,500.5743,469.0054,295.6173,485.4676,487.2167,517.6605,519.2125
H1703,571.6572,429.9405,144.123,490.2209,368.0783,189.6177,490.8359,382.7766,258.7206,538.5845,490.5151,296.187,227.201,332.3088,353.0531,385.3955,597.8299,308.6842,308.0653,221.2383,318.4988,376.5106,341.1585,379.6025,336.4907,225.9054,331.0775,386.444,384.2127,332.9493,431.0151,353.5938,383.3354,451.5258,361.8319,370.7701,390.5791,485.0383,274.4214,371.4064,372.8388,437.2636,338.2835,415.4871,511.3324,300.2702,326.3475,370.7817,429.1983,392.6425
H1734,627.3711,484.9051,118.7644,472.1828,355.0092,212.7706,454.5018,433.953,158.9238,430.8906,437.7732,223.6174,292.7162,331.3512,374.0145,415.5272,630.6762,338.1494,321.0466,175.1394,332.9352,393.5604,362.4313,412.5032,378.8942,167.1194,424.3899,432.9131,389.7548,344.5059,418.9747,387.7361,419.2172,436.9832,373.6431,374.6318,429.4844,441.7431,316.1703,439.1869,417.1058,405.8734,315.2214,419.5266,537.8904,278.4402,383.7988,380.6668,425.426,421.328
H1755,617.4733,500.5688,171.9306,313.2051,357.6881,213.1498,422.0652,393.7485,241.1107,512.7282,376.9425,319.7376,287.0282,351.0815,371.6452,395.637,505.1537,326.1747,340.6266,302.8969,328.641,418.7503,343.0503,402.4334,352.2663,170.4384,377.5703,418.284,378.6354,350.4796,443.0861,372.5735,435.8204,431.0983,377.5389,427.4127,403.3481,434.5758,353.6976,401.8138,409.428,432.0649,369.5043,442.3487,517.4236,256.3331,381.8557,382.2427,440.7878,429.7676
H1792,601.5136,447.7077,166.6498,456.0769,378.0241,262.63,476.6124,379.7958,209.9522,488.5347,455.5894,379.215,187.9973,336.0971,333.9636,386.8231,643.6323,333.0202,325.0233,292.3022,325.0938,377.9112,349.7807,377.2263,371.3322,262.9938,365.1923,382.885,397.488,334.9027,434.0676,404.8406,393.5754,417.9913,356.7175,395.048,394.5678,434.3361,359.2255,398.3863,373.1924,413.8716,379.451,396.5742,602.1517,284.7104,366.1384,377.0243,458.152,401.8793
H1819,577.8439,443.3927,132.5526,311.2707,298.4651,297.3176,458.6033,504.8485,213.4793,478.785,324.7437,320.0911,447.8522,473.4316,517.8094,488.4779,564.5017,413.5653,417.1996,265.2514,416.8022,485.9777,472.1344,486.1426,481.7086,219.3373,478.4914,506.2224,493.5942,413.4738,385.6874,487.3649,507.8113,497.0301,463.0564,497.7032,499.5528,420.9106,471.4469,492.5614,489.7876,405.7841,369.8208,479.83,468.5962,297.3789,484.6467,463.6317,510.6603,491.0016
H1838,594.5867,497.1283,122.6453,433.4356,371.4438,251.7358,482.7913,516.6997,180.8455,471.7005,456.7653,333.6003,407.3092,444.937,477.625,484.5611,612.8359,464.4326,390.0667,235.7312,433.3138,484.4584,497.8362,475.8618,465.3826,215.3389,498.2747,491.0462,497.7067,410.1782,459.1036,476.4388,494.8737,457.7621,500.9216,490.5321,480.988,439.3329,413.4117,506.3617,480.3108,395.508,365.8259,489.0756,545.9135,285.6634,455.9046,447.1863,520.1961,495.7514
H1869,596.176,528.0602,190.5898,471.8848,351.1458,292.3159,459.775,480.3155,166.4941,405.3755,474.3158,334.5211,329.5677,444.4975,505.7801,486.6009,540.1591,418.1148,365.7769,299.2639,440.355,463.6036,476.4196,457.5956,467.2913,183.4897,497.5627,472.4728,479.817,395.1044,429.1823,421.7513,481.9631,471.3526,492.1382,514.8171,480.8505,373.6497,450.8471,498.9589,484.5867,402.4519,379.9288,489.4214,507.1973,300.2713,438.5943,470.8252,533.0792,456.4572
H1915,601.2123,465.8975,135.5214,468.9895,372.193,231.3449,476.3675,415.6399,191.1383,517.0608,467.2667,321.7601,275.0577,391.3554,394.4711,426.8286,612.1189,354.3874,333.1661,259.8503,359.5882,401.2962,391.1657,407.5786,370.7483,201.8952,396.1422,420.3379,440.0753,373.5605,459.0488,375.7761,412.2866,452.3613,401.2964,442.2325,447.8887,452.991,391.1151,390.6491,408.8747,415.7168,370.3981,437.2353,516.2563,261.3176,394.9546,415.0026,457.7305,422.5323
H1944,313.525,290.6076,165.0687,444.1082,364.9494,274.7269,458.2626,474.9125,238.4966,424.5931,470.6976,330.1492,335.6493,401.1209,404.3257,480.8056,546.1213,427.8227,371.2999,304.9892,415.5829,451.1745,432.1852,489.5647,436.887,234.3111,439.7762,445.1974,460.71,383.3582,407.5065,462.4119,455.5544,428.7514,452.4528,477.7793,450.2772,413.0105,364.0586,433.6579,478.2792,388.0813,378.7535,468.8417,462.314,263.6895,432.4088,455.2239,509.6519,479.6557
H1975,628.3696,509.7264,148.8813,391.3335,373.1232,207.6698,457.4513,430.7486,153.843,527.4026,411.2084,334.2789,273.254,351.4672,364.9438,419.7557,579.8896,333.4707,346.3943,246.03,332.7864,404.3627,358.8096,401.7481,379.7525,156.4598,379.2549,414.5982,401.1047,371.9065,421.5995,410.4137,426.6353,428.5551,379.7828,408.5778,424.8242,421.0311,285.7819,404.0169,403.2535,420.5921,374.3558,440.7668,654.5062,283.4737,385.85,401.8234,447.0432,447.2526
H1993,620.993,480.1455,123.1763,377.3535,368.2267,229.0944,460.3229,404.0544,142.8249,397.4802,395.5973,309.0205,322.8703,353.6548,393.3815,408.4493,536.8433,364.6331,357.4522,208.6725,352.9949,409.085,377.3092,415.6146,379.9619,188.0292,392.3916,430.2339,413.9244,356.3741,411.4195,378.0392,439.4403,234.8191,404.2557,418.688,408.6727,435.8431,343.2315,406.5725,421.2565,412.0056,366.4924,441.2432,305.4694,272.7251,380.7788,374.4658,445.6712,422.0822
H2009,594.6698,419.4085,119.3238,472.4469,307.7129,240.5235,505.5889,430.1259,171.8415,503.1078,495.5362,260.2924,309.4889,385.0183,431.9783,440.4721,605.9363,397.6184,351.3969,218.4212,389.0911,410.7154,399.3254,434.3268,387.6178,140.0013,425.1666,420.9297,424.5009,380.1309,431.7471,388.7549,416.5749,442.2826,415.631,428.766,462.7841,437.8233,379.1241,347.5912,446.1109,420.9621,378.6408,461.3043,473.3608,318.2566,396.476,401.2494,451.8182,460.7322
H2023,312.6058,286.424,175.7721,448.8257,386.112,278.4384,473.1538,483.3515,262.6796,486.4486,485.9683,340.869,341.7904,415.6347,403.8778,425.3667,584.453,383.43,352.7411,315.17,366.9357,461.267,393.8788,431.6714,387.985,244.2368,407.0686,429.8859,450.971,388.3234,442.6004,397.1967,446.3659,463.3586,421.3925,441.6703,457.5866,444.1091,346.4873,480.7668,460.653,286.9265,361.0959,468.7205,390.3547,271.3723,391.681,435.6551,488.6318,438.1684
H2030,513.2427,418.2181,195.7518,469.8487,348.2805,276.4481,473.9291,454.9903,219.9744,432.8427,472.6587,324.438,292.3995,404.0446,470.7582,456.6885,601.1414,405.7979,379.7784,290.055,411.6214,449.044,475.9717,449.9861,410.4157,205.1166,439.3937,475.806,469.6811,392.2626,440.7817,441.2242,459.3649,467.5469,467.5047,481.1249,471.2148,455.6806,391.4835,503.7683,459.9616,411.2317,nan,477.6216,483.5665,294.1006,448.8962,436.9585,511.4534,411.0311
H2052,605.1577,411.097,171.845,496.5126,405.6172,234.1503,494.0024,536.0678,188.4214,558.1277,498.3318,307.6868,355.9844,469.0912,464.706,478.3492,615.5098,445.7633,379.4923,238.7917,452.1975,465.6133,470.2839,483.0836,471.5617,176.7696,477.7891,490.891,485.39,428.015,452.8016,486.8788,491.3361,465.4451,495.8399,480.8752,498.9787,490.974,472.6581,486.6855,483.5632,402.7735,384.536,503.4132,512.4957,251.7942,488.8222,459.1561,512.3022,497.0362
H2073,404.1457,348.3301,181.5307,287.9197,401.0742,263.3254,410.5938,455.8099,205.092,273.0829,268.8063,324.5179,461.2056,480.1858,471.9374,517.4219,465.5516,398.3324,407.6784,304.8895,377.2476,499.9314,425.2429,497.7221,502.7149,206.5583,459.6763,458.5064,468.0774,441.9165,321.2464,472.5217,525.1511,471.2453,494.0248,463.6881,469.3638,451.3073,459.9725,439.4025,493.574,395.8569,323.9824,474.0802,273.7856,nan,471.8028,437.3467,480.9012,462.5104
H2085,588.9417,513.6828,159.1643,nan,389.4799,260.8596,nan,561.499,180.016,536.744,nan,343.3029,456.3186,524.7668,554.4501,542.5967,590.9578,512.9094,423.8659,282.0716,495.6481,558.3868,565.3536,560.6415,487.1862,205.7622,554.4169,552.6816,560.6915,476.5625,nan,535.267,558.4019,507.7554,575.7696,536.3032,543.1105,440.6236,514.0912,538.6731,563.827,399.8,nan,561.9927,nan,nan,511.3389,487.1773,584.9851,542.0803
H2086,598.3647,509.8158,154.6747,416.1144,318.3557,261.7283,435.7942,497.2143,128.481,526.6705,440.0081,268.9902,429.6868,485.426,540.6857,487.2716,521.8248,496.1137,370.7817,267.0138,426.6755,482.9109,498.1362,486.5471,464.4956,131.8549,511.3186,475.4869,533.6653,426.7219,440.8,481.196,503.383,445.7584,486.7672,494.6288,471.3717,464.7444,459.6298,450.5665,485.9217,391.873,371.4883,515.2806,572.9674,313.8706,515.7907,469.2005,516.4161,527.0471
H2087,604.5987,518.3012,165.8645,482.877,366.7092,255.427,473.9207,448.168,239.5172,493.9687,466.066,350.2117,326.396,413.2651,439.0521,445.9647,570.7343,358.3564,345.0952,301.9687,406.7602,447.6267,413.239,423.4658,403.0247,217.3206,423.1909,483.9268,458.15,385.8272,456.7546,414.2864,487.6505,431.9233,404.8585,408.7795,460.0236,376.364,411.0312,488.8704,462.7508,425.4635,261.4838,483.8191,617.4987,291.9058,435.941,457.6186,495.5767,445.7579
H2110,278.3303,309.6745,163.5454,255.2236,310.055,216.1772,400.6699,417.801,148.1041,412.1427,257.3469,328.8931,357.2328,396.0348,413.7038,430.5517,541.4918,385.398,423.1961,224.6014,391.4922,437.4887,423.5585,416.8168,419.3343,212.7034,390.8425,408.2884,445.3101,362.0766,321.0792,461.7335,468.2387,435.2897,423.0668,440.5845,401.8224,397.3989,331.8979,402.0158,411.428,410.8014,356.8358,461.2367,560.5459,253.1483,442.5574,431.9717,503.4217,466.4753
H2122,341.1542,355.8546,175.8288,354.9322,405.5155,281.3687,287.498,388.0956,255.9686,567.6994,386.9109,386.5218,385.8503,340.859,361.4909,400.7226,325.3322,326.9485,343.8429,327.0325,311.6345,416.2851,357.4308,400.0258,341.7794,325.1062,372.4201,384.6128,359.4812,341.371,318.8295,369.1746,431.3475,471.2557,353.338,373.2357,385.062,442.2808,300.6849,345.7153,384.2901,270.9038,386.2672,438.5329,499.1944,308.2196,344.1791,406.2281,420.1796,405.2873
H2126,537.5244,465.6266,173.8427,369.0052,425.9288,274.0128,459.5833,391.0175,183.1943,465.5565,411.7356,342.7616,297.9774,372.2036,397.2426,396.4566,578.9031,324.1107,340.1963,253.9065,345.4488,396.7339,347.1462,382.9904,387.1826,211.7659,378.9066,394.778,413.0082,352.5852,448.5662,386.9374,431.069,447.5516,372.8236,386.4837,410.1069,401.7517,296.6895,389.1993,400.7639,413.5383,307.084,439.7154,616.5585,302.5879,401.7657,393.9002,420.6472,424.0211
H2172,610.4306,504.3308,186.1169,464.9456,426.2657,294.8261,476.0622,469.3075,227.3865,554.6738,469.9374,346.6862,335.9122,453.7938,479.3001,465.1726,590.7468,436.5367,380.7929,304.124,395.9707,479.4715,468.2887,472.0202,459.2696,245.5619,469.7082,480.2276,487.9418,425.6372,434.0154,480.127,503.0002,487.3373,468.9979,480.7682,492.6334,470.0851,422.7767,452.3995,484.03,419.7165,351.6446,493.6742,416.6756,241.7697,468.9059,452.0312,510.3095,485.8714
H2228,450.0966,384.1704,212.5781,nan,398.8619,324.9226,nan,487.4318,266.4151,521.7487,nan,398.6981,405.8606,465.7299,473.1356,488.0591,602.9902,416.6655,384.6113,335.1235,406.0402,510.3858,460.0092,493.4051,467.1696,276.4543,461.995,452.9771,469.0471,437.1086,nan,467.4352,505.3229,364.985,481.6121,466.6884,473.5193,466.8058,400.9919,453.409,472.1816,400.4112,nan,496.1816,nan,nan,500.1274,470.602,508.8896,426.2437
H2250,617.6099,511.4729,172.1582,494.4623,360.7132,257.7609,473.255,441.9282,156.6392,502.7698,487.4749,338.2362,380.7593,408.7754,469.1992,470.4706,606.8316,405.6757,410.6263,251.3396,444.5239,442.6937,473.7987,453.146,473.1607,187.1125,414.4614,462.0248,493.7499,406.2975,435.0231,495.3106,466.3527,315.0931,450.7116,447.4841,489.0917,410.8026,384.4068,432.1617,422.6594,410.1931,330.819,487.5353,504.7059,302.0133,460.1973,456.5378,530.2402,342.0833
H2258,523.8552,416.2407,156.4342,436.9169,380.96,246.3255,464.4471,433.9632,192.6063,482.8333,462.3192,359.1624,328.7288,368.687,330.394,425.0049,548.1605,337.9125,321.486,286.8532,306.7586,399.8375,313.2409,400.0118,374.7634,225.218,379.9842,381.2496,379.8467,349.2628,424.9521,389.3828,405.4887,317.2668,372.5834,365.0574,406.8044,401.4904,296.9202,347.3139,389.594,398.3522,346.9164,415.699,555.6955,284.6944,388.0286,400.2907,425.0919,393.526
H226,581.1787,418.8733,133.1979,455.6488,394.5128,230.0207,487.4099,488.7086,234.9155,569.9648,456.119,307.0281,369.7102,454.6488,452.1978,474.1864,585.4368,431.8869,369.6997,257.453,401.9388,466.8881,445.69,452.1011,432.5319,169.0705,492.2995,507.2013,466.655,397.0441,453.4023,421.2163,495.4619,431.4853,458.0888,472.1139,495.6262,504.374,463.3795,508.05,484.1462,419.8386,382.5905,485.1313,505.9284,277.3398,429.4767,460.9221,506.0348,454.0973
