Drug,SW157765,SW157692,SW005017,SW134727,SW072554,SW197409,SW006981,SW096640,SW148608,SW198886,SW134963,SW023297,SW208072,SW074797,SW113135,SW015134,SW018825,SW080100,SW043997,SW088073,SW041995,SW074798,SW034455,SW096258,SW031368,SW053405,SW023118,SW096289,SW049772,SW074763,SW172170,SW031378,SW074796,SW202555,SW096274,SW147215,SW081904,SW082653,SW208097,SW082337,SW094234,SW117364,SW008135,SW028282,SW196788,SW140154,SW011146,SW013744,SW035516,SW018303
H23,621.1078,411.8199,110.2785,436.22,350.9738,152.7239,458.3941,385.6951,157.0415,487.0749,433.3966,263.8791,276.577,312.4683,349.6877,390.43,567.0195,302.7172,274.5697,212.867,316.0886,325.9958,299.1364,362.8466,306.7477,193.483,316.3618,357.8251,364.124,295.3623,408.7562,333.072,354.7112,437.4853,365.6913,347.4614,363.6622,453.1281,297.6446,333.1897,402.032,401.0936,392.1733,361.2883,603.0933,255.8546,324.315,390.6225,395.863,354.6592
H2342,613.4052,493.0471,175.5387,306.8414,346.3026,276.3462,444.7645,560.7964,170.7161,518.2469,330.1991,299.9607,540.1775,484.3264,556.3275,536.4332,582.5051,466.0292,437.2747,254.2486,447.812,513.8094,528.5511,520.2329,533.8608,217.3619,581.1419,536.1985,563.7644,462.8486,423.0308,490.9224,557.5008,494.3784,587.1796,552.8048,547.0289,477.5225,503.773,474.0121,519.3734,424.6612,366.0256,566.9299,471.4617,279.3944,508.1756,505.5168,546.1474,491.6781
H2347,596.7909,523.449,162.7406,454.041,384.212,240.6431,473.08,463.1635,160.4735,515.4086,468.7002,304.4359,406.2194,435.9665,457.666,465.5211,591.0798,414.3627,370.4542,254.7636,401.012,478.286,430.8161,486.2439,449.2698,211.0465,458.3177,455.8368,471.4567,404.5682,444.8241,475.3271,478.2615,462.4597,472.9094,462.5769,471.2492,444.7776,459.071,469.271,473.4717,433.3983,365.5753,501.7587,609.9062,278.3848,461.5712,463.3493,498.2729,445.555
H2452,542.4729,483.2556,157.1808,456.8785,379.1,282.7664,476.9726,427.711,208.5256,531.4436,468.29,338.2145,266.4991,390.3285,401.4975,410.8982,538.7438,369.4488,341.1216,264.8477,371.2781,404.8881,408.2197,427.8219,386.1484,232.4432,391.5356,427.6226,437.4067,366.3358,443.7266,419.5491,426.0727,469.806,420.37,417.2133,432.9438,438.4142,300.723,458.9253,436.9509,422.5632,364.5074,433.3293,436.9232,267.6143,405.8415,418.3009,482.553,452.8493
H2882,585.7277,479.2766,153.3818,450.0502,337.2188,236.7451,491.2811,437.4331,203.512,490.4235,441.8467,269.4884,269.993,425.1318,419.8401,484.6467,575.4844,401.4807,350.4083,250.8132,405.1745,456.8213,438.7297,443.6061,424.5925,181.0992,413.1293,460.0873,465.348,393.0087,426.1616,428.1267,474.1913,437.5663,444.9682,444.2769,421.9446,422.6855,500.5051,372.9669,460.6686,413.1029,395.4412,417.7192,631.9626,293.9934,443.5755,393.7298,493.751,468.1489
H2887,610.5964,507.5136,176.5072,484.3491,359.6039,291.5808,490.0331,466.9249,248.9205,513.6353,494.447,383.4352,410.829,450.6584,463.57,498.084,589.3092,451.4074,383.4321,308.1709,404.5635,458.9699,445.0643,464.5385,469.6649,269.3871,493.9224,466.8728,503.4018,415.7549,448.658,464.576,497.5095,469.3648,482.8319,501.1122,495.2487,454.9521,433.9716,498.3425,479.4739,427.4178,386.2506,497.4869,553.065,265.9333,485.6691,483.2358,509.3609,512.5361
H292,528.7144,454.2378,158.6711,422.072,366.5063,243.609,460.9923,422.8184,145.2657,373.6254,492.1472,298.3259,321.4753,387.829,399.0572,421.594,548.6078,370.0007,350.0474,261.4571,366.2766,428.0149,404.2779,415.4876,385.2303,155.3899,410.8818,441.6524,436.9648,378.0187,430.9376,400.8825,447.5564,426.4232,420.9197,429.1496,449.8766,441.1962,338.6108,413.1733,430.071,390.4668,374.2343,452.389,423.0265,309.8754,408.3285,433.3263,461.9674,464.8077
H3122,637.2071,529.8025,188.519,431.1202,388.0889,289.2864,453.7886,447.8667,251.5154,654.2772,434.925,365.3163,447.2411,426.3234,501.0569,482.3424,479.6677,386.9208,420.611,315.7149,415.9896,501.6027,495.4883,439.8986,430.8737,266.2776,440.1953,455.9717,452.3996,383.5049,346.3179,467.0727,525.511,448.7354,438.6617,547.8554,475.1128,411.5487,471.0049,443.2649,444.9761,441.9864,383.483,473.1746,610.1593,333.0049,492.9962,464.6573,499.7574,455.0529
H322,463.9938,430.345,153.8087,353.2211,262.7586,252.6027,439.8437,427.8734,153.0099,365.9431,393.3021,310.1561,320.9241,382.0895,418.1556,421.1502,572.1614,392.7801,371.7957,240.3895,367.7342,423.7507,410.2744,417.0672,435.6195,200.1033,398.0977,453.0879,453.4476,388.6129,413.3507,428.7891,477.017,484.8316,442.8575,423.9912,463.3005,477.6006,375.8012,472.7459,440.1223,445.9892,235.7375,437.4074,571.5341,268.3872,438.0762,428.3349,479.1931,419.0589
H324,581.3292,514.3235,162.6102,416.1426,330.9771,265.207,441.0349,456.2583,174.7391,545.9812,442.2047,278.7844,375.598,404.6419,410.1728,435.0187,590.2499,371.322,344.5809,247.2927,356.3172,405.94,400.9386,386.4026,368.0635,196.1012,374.2668,413.4969,427.7321,349.2836,433.828,360.0651,456.7287,462.9816,378.0651,414.9736,448.8328,428.6301,381.4394,402.61,396.11,404.2208,359.3934,455.6846,508.2593,297.3429,371.5723,421.5286,439.8795,424.5019
H3255,424.0463,412.1163,163.2359,309.5499,389.4644,256.4292,443.6368,426.5429,160.706,224.9495,277.49,310.0815,449.894,441.2481,466.0856,461.42,538.0168,381.4457,392.4991,264.0116,373.0952,489.5954,492.2713,442.0028,491.2377,320.0202,433.2357,431.7708,461.5765,393.0975,398.7178,497.3561,512.5065,427.4138,416.665,426.6286,465.6665,405.2784,363.4797,417.2437,450.0272,395.7058,361.8423,478.1549,614.3082,276.7002,471.0999,431.2022,485.8255,457.6829
H358,606.269,415.5714,114.5818,339.451,355.0432,228.8641,456.7337,474.1756,166.1764,424.1963,351.583,301.2023,372.2109,382.7953,423.3189,450.4745,560.3183,373.0006,340.9669,257.9298,368.8426,451.5499,423.0277,447.4178,406.3691,161.8769,406.6015,416.1101,423.6753,381.5026,403.1639,452.2392,463.9418,446.0048,416.8279,399.5582,422.2032,417.4187,341.1859,394.5258,453.1258,405.613,365.325,469.0427,647.1563,269.8715,408.8656,437.6121,443.7825,394.9783
H441,586.0087,520.1777,162.9016,443.9046,370.4475,292.4813,490.0769,507.6168,210.5541,456.0892,468.3503,351.7396,399.8416,470.8353,468.4222,493.8119,606.6582,433.5548,391.2974,293.012,424.6615,531.3867,470.5949,513.3104,503.462,230.7561,492.7669,472.567,511.5809,419.1137,392.9709,452.7467,517.6871,476.3935,503.4216,483.3666,499.6889,477.4933,416.8283,476.4355,498.8832,418.0423,367.9319,546.308,558.0373,266.7916,473.9559,504.3663,524.7185,516.9336
H460,353.1085,345.4772,166.0561,510.7781,365.6799,297.8855,489.089,416.212,215.3674,617.6456,505.9947,360.8563,238.0745,397.011,379.5932,447.1645,594.1219,361.536,323.8645,300.9711,373.007,406.2272,379.7985,416.0756,381.0547,224.0351,399.9007,410.9271,421.6437,365.9678,438.4588,408.8206,418.3257,440.8511,391.4473,417.3772,424.7687,460.4398,315.7107,387.46,419.8779,418.9529,329.8921,448.8878,481.0024,309.0714,436.3471,430.4475,476.3373,436.0913
H520,572.3314,460.5231,158.8381,505.0523,254.5342,239.978,479.8712,366.7069,226.9021,584.9326,505.5122,309.5672,210.2871,321.8085,343.8384,406.7744,582.8705,340.8812,339.6072,253.9824,313.3001,377.8198,375.5454,368.4395,384.719,212.3651,348.9127,404.8209,376.225,342.8201,450.6239,404.2678,403.4663,436.7432,349.3253,421.3471,414.3296,395.8698,363.712,402.2286,390.8052,407.0722,390.8422,439.8229,518.1018,251.6581,394.4847,385.2357,462.5922,431.9179
H522,601.4444,489.2509,113.7924,469.4079,287.7697,219.8537,462.9486,458.6248,220.7346,490.9389,468.1847,236.3211,300.4796,396.1114,475.1834,450.9006,576.1806,413.1233,364.8299,208.9559,395.7155,462.9756,423.15,456.0221,437.839,160.6696,471.4943,451.0047,448.3512,406.4524,436.6985,436.1991,497.7694,495.4641,479.153,477.7773,462.3729,455.2178,408.7344,429.1005,484.6197,417.3299,269.9507,491.7385,510.8589,210.9952,444.6918,423.8292,473.1762,455.6737
H596,427.7937,396.7132,161.5265,279.0804,305.6581,222.058,447.6441,489.6957,216.6156,446.0491,260.3496,288.139,429.7983,431.1288,463.4905,528.0502,549.0899,409.9681,389.0812,231.3888,432.1447,490.1625,479.5856,502.4898,447.3213,188.0055,424.7989,480.4692,468.5257,413.9069,398.884,483.0613,509.4418,476.1398,516.8477,487.0031,469.709,449.1723,421.3587,475.6346,515.5244,400.7115,366.4283,510.3884,519.619,297.519,471.1181,479.6925,506.2173,493.4512
H647,312.3785,331.3695,167.7251,450.1903,385.7987,302.3793,478.6159,485.7162,236.0125,544.0765,468.7306,350.469,455.9431,475.5852,509.3157,446.4542,604.2991,412.953,375.7298,309.9844,434.5794,488.9718,444.2734,515.5117,471.5736,247.4518,491.024,478.6748,512.4479,441.5158,438.2852,460.8202,523.8532,455.9363,516.5165,479.1098,489.0636,469.7978,439.0622,474.5316,521.9972,429.2883,nan,505.7521,501.5397,292.764,470.673,475.8416,505.7369,451.4716
H650,608.4112,523.895,133.6457,475.1095,440.6463,252.0703,470.9352,462.4547,163.7682,564.1571,477.5251,303.8644,344.55,444.4214,477.341,510.6437,608.4034,409.6188,392.3301,251.8397,455.2689,478.3761,488.8171,455.4675,469.4164,179.0657,467.911,477.2638,482.2861,421.315,433.8768,454.1673,516.533,479.7373,480.9994,461.5002,498.5271,440.0089,462.8269,436.0358,476.3895,419.039,380.1798,476.0614,624.8967,306.003,484.3637,449.8628,537.9183,494.344
H661,618.9418,473.8861,164.1991,465.7052,241.3472,226.5589,487.0574,413.6699,261.7106,508.3026,499.8555,336.6089,252.8917,335.7188,389.6591,389.7273,592.5381,319.581,311.134,262.4889,324.2278,375.1149,326.4187,396.0031,356.4178,201.0027,344.2701,408.7515,392.4325,323.3845,431.4165,373.7197,394.7796,478.8163,405.92,412.0719,387.344,461.4019,299.0703,339.2859,403.7908,411.4283,272.5439,424.6496,473.2344,209.4283,359.5097,368.3813,445.106,417.9756
H820,577.7532,450.4835,127.8366,416.4516,419.1567,249.8504,467.58,519.8374,151.7812,541.035,442.1832,293.5094,383.4728,437.8987,430.7414,538.607,622.2936,433.4946,387.2447,238.3697,405.2024,484.6961,429.8701,473.6552,470.9415,176.7441,506.555,465.0245,476.9025,383.1063,350.4679,434.4063,477.7998,492.4232,456.0701,470.7152,486.189,499.5061,376.178,452.7455,495.7806,413.2066,376.5784,505.57,618.85,258.2623,486.726,479.808,500.6819,536.8906
H838,584.0788,468.1121,121.2138,486.0583,316.4217,229.5784,478.5405,393.1398,176.4556,499.364,489.7353,323.2606,230.199,336.5877,385.0037,407.61,587.5487,330.9132,324.3177,288.3854,352.4333,377.9763,372.0487,393.054,356.3632,146.1958,373.1581,412.3557,421.9356,332.9583,443.6557,361.8282,379.2274,455.286,392.8834,407.1465,411.599,487.9984,321.7185,431.6604,402.1187,428.2697,380.9123,421.6671,517.561,240.4733,356.8365,404.2124,474.0747,434.1167
H920,571.9095,524.2057,190.599,432.4337,373.0425,297.6818,442.7174,450.1732,312.1187,598.2714,468.4907,393.2963,272.2368,386.9089,413.6573,425.9838,491.9355,356.0286,343.5018,311.8516,377.29,466.1803,385.2866,436.877,381.5008,270.4197,422.9077,453.4543,424.7342,377.2355,441.289,382.1522,464.9173,399.3651,423.5348,411.3562,430.3166,442.6879,361.7713,422.1697,423.8044,325.9001,374.7691,452.7662,530.8397,289.6564,354.7871,417.4906,454.3294,430.3748
HBEC13KT,613.1923,430.1493,129.0994,435.4583,262.3848,228.3952,466.7186,453.5883,210.2024,541.019,482.1041,231.8233,330.9246,396.419,381.8611,430.0655,631.5735,387.8779,327.9274,241.6035,358.8112,419.4923,376.5684,429.85,396.5676,169.6028,417.1248,421.5132,430.8033,364.2278,426.9525,381.3789,442.9827,401.7579,416.3097,414.3052,436.9018,474.4514,436.1774,430.3784,433.4412,411.8243,365.7777,460.8311,801.0533,282.4877,394.6618,417.1811,464.5031,443.8164
HBEC30KT,574.6466,475.4846,111.0423,477.3922,318.5744,226.1558,463.9749,442.7137,199.4486,481.2253,486.4758,223.5139,342.8646,364.3876,387.4415,447.3901,624.0189,372.3141,331.2717,212.4671,353.1432,395.9966,382.0736,394.5937,363.2892,141.3519,427.133,405.4264,450.8711,346.6197,435.5055,408.2816,412.3549,448.8539,404.069,432.6771,411.297,438.8064,463.5318,408.1164,423.7144,418.4686,376.3336,419.0376,483.2075,283.4524,381.3369,402.918,457.5151,454.462
HBEC34KT,602.2571,391.3625,131.3843,470.0657,422.5907,264.8697,482.3289,513.6792,196.4518,492.8026,463.6102,291.5857,455.3412,492.321,472.6325,499.5994,643.7095,453.3993,389.3076,257.4711,392.432,512.1069,493.3339,500.4039,458.8027,169.034,506.5904,462.7616,493.3007,420.2955,432.1934,504.5341,481.3273,468.8459,505.1534,462.7073,461.6794,478.6373,431.8664,533.4829,535.0062,406.7115,381.3745,529.6326,668.8744,313.8299,482.3846,469.5747,539.7829,525.8223
HBEC3KT,466.7278,324.0346,99.0211,436.5896,278.466,232.8485,462.3206,452.2642,148.2192,376.9843,473.5609,256.2371,370.8127,410.1486,436.7308,469.8631,537.4767,438.5061,352.0224,215.3285,381.6132,454.7193,439.5253,455.8118,413.49,143.6536,483.1173,435.748,479.4511,384.7056,419.838,431.8232,453.1889,437.2731,436.015,451.6801,419.193,364.1326,452.0707,456.5177,458.0544,422.6397,359.6989,449.3516,598.6273,269.9091,426.303,455.7801,511.2495,427.0915
HCC1171,594.8815,519.2744,161.6796,454.5,393.4259,252.3959,484.5605,474.8096,203.9506,518.558,445.0331,336.5113,376.2597,441.0208,449.7734,485.9694,575.3108,452.6719,381.4433,285.9387,407.1465,486.461,499.5024,490.4739,456.1883,256.3699,481.7251,471.2536,489.3438,408.6005,428.4848,476.6343,472.9331,443.0999,491.3513,502.2271,484.9139,464.0733,460.9121,476.9988,459.82,423.2643,361.2781,517.5945,624.0814,297.3202,476.796,464.2455,544.2155,497.2263
HCC1195,591.9131,497.4959,130.8868,451.7824,383.4373,215.7126,486.7012,456.736,150.3015,476.3362,457.8046,291.8746,363.6163,420.953,450.1595,462.4,560.7807,371.4583,336.5786,269.109,416.0603,453.7959,444.442,436.3727,408.8993,202.3437,455.9463,431.1429,430.8333,395.2326,426.3527,420.6708,440.0198,485.6139,460.3626,431.2915,449.938,378.9701,423.0919,409.4055,461.9172,412.9319,384.0124,452.2188,607.8768,290.8875,403.8578,430.2049,501.2092,438.3913
HCC122,582.6088,506.2563,201.1018,nan,434.1892,284.8759,nan,471.0004,264.6524,506.8005,nan,375.3238,491.8435,461.0808,509.1606,452.0957,532.8234,442.7703,444.9282,313.6681,439.4609,531.155,519.0136,501.4989,476.3348,256.539,464.4681,489.3695,496.4991,427.8269,nan,505.4152,533.6066,501.6997,498.5941,523.7887,523.6032,426.2687,447.6152,525.8438,510.6343,409.6421,nan,499.3002,nan,nan,504.9601,474.3177,543.1284,523.9482
HCC1438,553.728,520.9554,170.6908,510.9437,297.0687,263.5106,491.4507,395.2754,215.6145,575.1468,493.4094,312.2855,228.4773,311.0582,343.4879,387.0682,622.0123,325.2835,320.938,263.281,308.7143,372.2219,331.3728,373.7343,340.0101,203.1404,333.8797,397.0197,392.1584,344.6301,447.1004,364.0656,385.5568,489.3275,357.9819,350.3057,361.3256,383.7224,268.3617,351.5635,411.6118,413.8026,374.7113,442.8538,459.4601,304.0776,332.5222,425.743,406.1553,421.6536
HCC15,399.9085,397.1388,158.1215,456.5928,346.2705,206.4393,481.5673,376.1835,147.7078,549.0958,479.0762,242.9094,236.861,327.6771,354.0954,420.4715,581.7589,344.3032,327.7129,245.8354,332.4432,367.6327,332.9583,360.4152,340.4906,182.3002,359.6454,389.6217,376.3459,331.9185,426.1727,382.2564,407.309,397.9004,363.2763,390.9719,387.3179,452.8968,283.5588,380.6067,406.5192,394.1976,376.7342,450.4747,556.7649,301.3378,349.506,410.6771,411.2492,380.7589
HCC193,517.8958,436.8729,156.0028,455.9063,395.7922,242.832,470.0792,425.6673,191.052,459.7049,465.2881,343.376,297.5219,388.5654,438.3906,459.8423,574.5342,394.746,346.6385,268.9094,388.1069,427.6503,436.499,433.2477,386.6252,237.9185,434.8145,449.8548,463.5429,379.1155,430.9827,427.5981,445.2306,461.8062,420.5938,461.8443,451.1386,433.312,379.448,444.78,437.5666,395.5388,363.4973,470.7882,634.1721,258.0519,435.6445,418.5766,496.2481,452.811
HCC2108,587.2145,519.2624,150.6824,471.8163,337.3311,251.5797,464.806,434.4298,174.4358,554.2006,468.6382,279.2886,284.9175,385.2592,407.9405,400.5256,602.6865,339.427,309.5884,234.5286,364.7808,417.7527,383.2817,418.6567,354.6773,166.9113,376.5755,427.1316,403.416,368.1313,464.8946,401.8879,442.8958,453.3372,424.4318,423.3493,420.9408,477.4687,310.2129,363.1227,436.5717,431.7495,373.8554,447.3567,514.6539,306.3813,372.8294,412.1622,435.7116,441.5784
HCC2279,624.8597,496.7856,166.045,429.9253,399.8479,256.4308,465.041,478.6796,209.1607,444.7533,444.6919,335.6304,350.567,429.9887,449.9295,485.1384,569.4855,418.1504,372.2104,260.5066,394.6149,461.5401,440.1944,487.6019,449.5579,189.1199,441.2199,457.8484,474.3111,410.9587,425.0958,458.3447,470.8181,468.7974,439.6171,478.8946,470.6946,478.5169,345.1431,486.9793,492.5666,421.9105,324.2468,498.7946,533.9529,278.275,455.2107,441.7374,493.8546,516.1357
HCC2450,603.9067,524.7947,168.1869,426.7549,317.1082,272.6815,478.5689,538.282,262.5869,557.7543,454.7683,332.0752,456.0361,516.2208,495.6983,531.7963,589.332,489.4694,414.2704,267.931,452.8924,513.9432,502.3517,503.7084,506.0539,218.0554,547.2755,528.7719,527.3539,434.3093,433.7202,493.3865,508.0341,496.6143,532.4599,512.5747,524.0758,466.1409,439.8596,499.4286,515.3135,399.5172,369.9031,546.6437,494.8925,297.7527,497.0646,495.5693,550.5302,534.8958
HCC2814,329.2951,335.8755,179.2216,331.9245,382.7692,299.4643,428.6895,464.0794,310.5693,458.4529,399.2705,386.169,346.8427,365.3132,390.4635,415.979,548.1367,358.9536,386.0008,302.7919,368.6544,431.0451,393.5334,398.0289,389.6549,243.2122,447.3513,449.5776,401.939,360.9231,375.4677,444.0471,500.8506,503.5416,392.7347,396.6123,464.2663,435.5424,395.1271,432.9386,416.8032,400.7906,377.4786,456.6347,614.3985,310.7672,429.0527,439.037,426.9378,381.0822
HCC2935,582.4066,496.886,159.7249,286.633,377.7115,278.6559,475.9174,530.1232,175.2622,302.6675,287.6366,303.5315,531.0753,520.5956,532.829,514.3827,572.392,493.9938,486.9452,264.4557,461.2528,552.6454,549.3909,534.6652,504.6946,224.0594,531.8438,527.455,528.6935,467.1157,420.2185,531.5281,553.4946,482.8572,544.1637,545.7396,550.3624,429.0073,458.8424,497.698,543.1202,402.0826,364.5493,537.9729,536.8102,302.8332,517.4662,498.0149,546.196,510.9482
HCC3051,618.2496,519.2826,169.8783,470.7897,318.3821,233.6265,474.4807,457.1913,236.1683,475.4629,485.1089,337.3754,334.4372,390.8001,367.5799,407.6029,601.1578,335.0806,311.938,268.6209,342.6437,412.9425,351.5423,387.899,393.676,210.263,447.9188,427.1608,396.3395,364.1727,429.2512,380.9124,424.7569,500.6369,410.787,405.4119,411.8878,455.8232,339.0494,391.2035,425.6487,417.121,256.2794,414.9177,516.2429,283.3469,365.1478,408.4194,457.0623,455.7008
HCC364,584.0809,478.7864,144.1979,502.0518,377.0607,271.4922,463.2545,518.3116,143.7438,512.6538,496.6466,255.494,456.4716,500.6151,462.9416,471.2739,628.5358,400.2297,364.5583,223.9917,431.1783,512.4709,437.4193,446.7421,466.2459,168.9922,459.1899,500.0916,466.304,439.9846,411.4526,454.7362,472.1566,503.4434,465.4185,451.5445,512.1504,464.3421,353.538,488.5471,455.0222,416.2239,361.6436,533.293,500.0044,343.3049,439.7179,444.4463,502.693,542.4708
HCC366,557.4781,482.5957,191.8984,471.2547,367.9632,288.4401,485.1907,467.4803,201.0105,514.9606,473.0346,367.3219,373.0179,455.2727,517.6928,519.5127,573.5953,405.6205,376.1247,280.9405,423.1209,488.8238,492.1839,477.3312,496.1418,223.7104,455.5366,470.3892,499.2536,413.1992,369.2536,462.8718,488.348,461.2252,463.1778,489.7316,510.9007,471.39,432.0895,480.1096,484.0955,420.339,374.0489,501.5035,436.1435,241.2111,497.1967,485.0415,485.1134,523.3096
HCC4006,547.9791,387.6756,137.9962,332.1185,449.9092,234.7642,445.5317,436.2156,158.5778,218.5459,372.5541,256.5598,372.4428,385.0247,381.9458,401.5646,532.8754,345.15,352.6003,257.3574,361.4734,423.0403,434.1135,417.5634,387.2346,167.9036,408.164,422.2061,380.995,342.7452,372.0533,388.9622,459.0564,480.9185,360.6227,418.2296,429.8698,393.1566,374.4285,409.0147,416.8333,393.0982,369.9294,434.3084,627.081,281.1633,385.1101,409.6147,443.5148,433.5797
HCC4011,538.6597,434.4459,188.6538,477.0484,332.2687,255.8976,473.344,554.0489,210.9773,397.9354,463.8409,288.7532,453.7635,486.382,471.9653,526.5814,549.8525,464.4785,424.7176,278.746,422.0482,497.4143,519.4127,548.2378,495.383,233.5894,473.7136,547.114,518.1107,442.3169,439.5277,490.0135,504.2605,480.4163,522.728,514.0875,511.7901,351.4333,437.4807,495.9281,550.0519,434.9618,363.622,544.8119,569.2735,305.0375,454.7612,503.0081,509.8621,559.7823
HCC4017,624.7578,507.8348,139.9702,485.5411,394.8772,272.0139,477.1098,433.1373,187.5633,504.665,491.7783,338.568,320.1366,396.9266,416.1633,438.8756,585.3185,359.3064,352.4911,249.6062,372.6759,426.9287,385.5505,440.8286,408.4658,208.7771,406.8499,434.8515,425.7528,390.8617,427.6013,418.3012,437.6393,421.0125,421.5039,432.3576,416.6334,455.9097,341.3164,442.977,433.5277,420.4085,378.2957,443.1039,487.9017,291.9854,425.2977,437.9144,444.5306,414.5969
HCC4018,595.042,455.2676,127.8366,420.8555,305.5867,192.4141,453.4667,426.6288,171.1256,570.3711,441.5943,254.1841,227.7826,337.9866,378.5657,388.3019,556.9559,350.4162,360.6447,206.8233,323.8581,377.7508,372.0693,372.2337,381.4419,170.4201,394.0924,449.0324,399.1639,372.2787,433.615,407.0268,459.712,483.4535,414.8736,446.3714,450.1167,407.8326,424.8243,378.2886,416.574,434.0072,353.8191,447.2889,556.2535,240.7106,384.9077,407.3829,453.7619,433.3368
HCC4019,460.6886,361.0009,189.2118,445.6727,393.1602,305.4896,479.0238,470.3265,223.1417,489.2676,442.5774,349.1745,370.7236,399.7103,410.7102,449.7778,583.1384,371.0612,334.4565,282.6984,371.4306,411.6105,402.4591,419.511,405.8364,234.1115,383.537,405.0731,444.8394,362.6696,425.3116,409.8413,422.5204,454.1624,430.4923,454.4876,414.3654,447.2487,359.6756,403.6338,426.8488,383.9744,384.6101,464.6565,459.3983,299.0369,392.6518,435.0507,462.0309,441.6306
HCC44,547.9453,459.0129,135.8669,414.2542,310.2932,308.4202,470.3155,338.801,202.7072,527.5465,489.2997,336.8012,237.8812,309.2516,308.9452,364.6605,594.2228,275.4187,271.0385,213.9712,278.625,342.1455,278.2573,340.3249,298.6902,219.3147,323.4623,344.806,327.6453,300.0688,386.582,314.8652,374.28,455.4522,320.4814,341.9439,352.508,460.5766,332.5624,329.8869,334.6105,384.345,257.2978,378.2532,471.6515,244.4632,303.7484,360.4271,369.7803,386.3282
HCC461,592.1841,486.6288,126.6943,462.2598,393.401,239.278,475.3074,490.2872,172.6927,511.6312,459.1163,305.764,405.9781,462.0281,496.1522,473.403,605.8836,444.8628,368.0542,191.6668,436.0783,487.9263,502.1612,514.4097,484.3966,190.8553,498.8352,475.986,500.2259,442.1883,427.0769,462.1502,495.0534,459.237,476.28,473.7636,494.7118,443.4691,457.2189,464.1466,505.0953,408.2975,369.1443,519.8577,615.6805,286.9267,457.9311,477.2472,506.7607,419.6361
HCC515,616.2573,482.5147,170.3294,456.1055,386.3998,266.3594,468.8709,489.2498,168.0598,463.7582,481.864,305.7609,378.1348,475.6476,479.0331,495.7216,588.6671,448.7858,405.9362,257.6523,438.8345,478.0007,470.0097,518.0001,477.1356,208.776,479.2738,480.843,496.3982,426.5398,423.4415,488.1323,499.3756,455.119,503.4531,476.0584,509.1068,473.8827,424.1006,497.8586,491.2065,419.9437,368.7043,492.1854,556.8284,308.1436,503.6892,473.0294,522.0943,488.4511
HCC78,560.0001,419.8301,132.3649,438.2824,319.6033,264.9703,489.3532,455.4504,153.1177,479.1945,431.4135,312.7183,377.9859,389.4961,404.0082,415.4645,562.8048,359.0612,350.4027,253.9992,347.9651,435.2914,351.3953,417.7673,406.6843,224.5778,424.0965,434.0391,428.7654,378.5214,402.5005,420.9829,456.1476,411.1642,414.4595,413.8307,421.8534,433.1935,322.4033,414.7206,444.5727,415.8383,294.8657,461.7237,502.3374,272.2987,393.2907,405.1506,462.6636,449.4009
HCC827,600.6999,493.9288,158.1274,452.1967,360.6368,247.4372,466.316,465.1576,142.8717,176.0074,453.9623,324.0103,337.4877,417.635,450.8507,475.3557,539.6628,406.9722,369.3871,255.7318,405.0802,464.3368,433.7285,467.8982,446.9488,194.7034,437.4667,468.2011,456.9513,421.0674,414.6997,457.5479,495.5762,446.1219,440.6802,475.2604,470.8228,353.884,444.6735,429.0187,463.2629,390.6787,311.2622,477.5129,568.0665,289.7615,444.0659,451.5075,512.1554,441.4061
HCC95,272.8454,231.786,142.5796,458.4519,321.7081,240.6312,476.4824,497.5523,251.9596,474.1757,472.3638,340.8159,293.9767,433.9283,449.8417,439.9364,472.7647,414.8052,333.3833,295.8061,363.7608,424.7838,424.6028,466.5922,387.2615,221.1785,463.1341,447.9944,419.2105,377.4829,441.2108,390.377,483.6245,428.2919,490.9397,469.3982,413.5498,298.579,343.6808,448.5235,454.3369,376.5991,361.6212,461.8346,471.0423,264.182,411.4165,387.7858,478.8568,423.3952
Hop62,586.8348,491.5405,172.7163,469.3243,347.1271,299.5336,477.4214,453.589,261.494,555.8378,477.7352,403.7059,340.7966,422.9533,466.3186,452.4806,585.1232,399.0042,354.0438,309.8891,412.1304,448.2581,448.9827,470.92,401.4256,268.9649,438.5009,446.9808,454.5665,414.5124,426.9612,377.887,483.7176,485.1197,460.2337,477.8441,460.0084,439.2191,455.3749,495.1107,481.7598,383.4059,377.0853,494.7806,499.761,288.2935,372.797,438.009,488.7525,433.5347
MNT1,nan,nan,nan,486.0351,nan,nan,485.4456,nan,nan,nan,483.555,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,443.7087,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,350.7591,nan,470.3979,251.3533,nan,nan,nan,nan
